无锡无锡县,120.311889,31.491064
无锡金匮,120.328433,31.536165
无锡扬名,120.313651,31.524993
无锡梅里,120.433837,31.542739
无锡北仓门,120.307164,31.580677
无锡泰伯渎,120.223287,31.526183
无锡崇安场,120.301143,31.575611
无锡薛福成故居,120.295886,31.571067
无锡寄畅园,120.271662,31.579748
无锡惠山寺,120.269409,31.579628
无锡南禅寺,120.30864,31.566744
无锡南长街,120.322149,31.551464
无锡古运河畔,120.307969,31.566089
无锡甘露寺,120.577097,31.538116
无锡二泉映月,120.311889,31.491064
无锡长广溪湿地公园,120.263661,31.478772
无锡崇安寺,120.299821,31.579367
无锡运河公园,120.289386,31.583728
无锡小娄巷,120.302779,31.578348
无锡钱钟书故居,120.298168,31.572169
无锡荣巷历史街区,120.243277,31.554325
无锡老城墙遗址,120.311889,31.491064
无锡惠山古镇历史街区,120.243277,31.554325
无锡县学旧址,120.299016,31.570855
无锡清名桥历史街区,120.311067,31.561986
无锡城中公园,120.301532,31.578381
德清古运河,119.9774,30.54251
长兴顾渚山,119.812437,31.124092
安吉大竹海,119.667473,30.493879
霅溪,121.217512,28.559301
金盖山,120.106411,30.801807
仙顶寺,120.007026,30.863754
毗山,120.12869,30.864399
善琏镇,120.313535,30.69646
菱湖丝厂旧址,114.554726,23.409159
湖州天主教堂,120.438499,30.873069
湖州刘氏梯号（崇德堂）,120.086881,30.894178
湖州嘉业藏书楼,120.086881,30.894178
湖州红砖厂遗址,120.086881,30.894178
湖州老火车站,106.031936,33.941691
湖州老码头,120.086881,30.894178
湖州东林书院,120.086881,30.894178
湖州月河古街,119.960439,30.536882
湖州通济桥,120.086881,30.894178
湖州潘公桥,120.086881,30.894178
湖州赵孟頫故居,120.086881,30.894178
湖州莲花庄,120.102804,30.857091
湖州韵海楼,120.107028,30.874342
湖州栖贤寺,120.010872,30.846241
湖州古梅花观,120.107432,30.795402
湖州沈括墓,120.086881,30.894178
湖州法华塔,120.086881,30.894178
湖州华严寺,119.733709,30.651573
常州红梅公园,119.973393,31.774671
常州天宁寺,119.968184,31.772829
常州春秋淹城遗址,119.974092,31.811313
常州青果巷历史文化街区,119.960596,31.771879
常州杨柳巷,119.951984,31.778485
常州延陵路,119.956799,31.778596
常州晋陵路,119.984401,31.820929
常州前后北岸,119.961594,31.777632
常州舣舟亭,119.974092,31.811313
常州东坡公园,119.974092,31.811313
常州常州府学,119.974092,31.811313
常州顾塘桥,119.974092,31.811313
常州常州古运河,119.974092,31.811313
常州溧阳燕山银杏园,119.4802,31.418477
常州金坛茅山,119.320063,31.784791
常州西郊公园,119.447601,31.425219
常州清凉寺,119.959538,31.762651
常州芦墅公园,119.939795,31.79506
常州张太雷故居,119.974092,31.811313
常州瞿秋白纪念馆,119.952183,31.780759
常州史良故居,119.962901,31.773022
常州大观楼,119.974092,31.811313
常州恽南田故居,119.974092,31.811313
常州赵翼故居,119.961804,31.776519
常州盛宣怀故居,119.955527,31.774441
常州古城墙遗址,119.974092,31.811313
苏州觅渡桥,120.646228,31.288248
常州正素巷,119.962463,31.77469
常州早科坊,119.950341,31.780294
常州双桂坊,119.956107,31.776034
常州西瀛里,119.949097,31.779239
常州圈门,119.974092,31.811313
常州茅司徒巷,119.974092,31.811313
常州柏花楼,119.974092,31.811313
常州冠英小学堂旧址,119.974092,31.811313
常州西大街,123.365536,41.997279
常州织机坊,119.974092,31.811313
常州永宁寺,119.995195,31.725749
常州大林禅寺,119.512864,31.37276
常州慈山寺,119.92407,31.670625
常州白龙观,120.10961,31.769343
常州圩墩遗址公园,120.058967,31.717819
常州家湾花千谷,119.417966,31.321635
常州西门外大街,119.974092,31.811313
常州东下塘,119.6091,31.757453
常州南大街,120.022902,36.249637
嘉兴子城,120.755623,30.746814
嘉兴月河古镇,120.895062,30.945607
嘉兴乌镇,120.493792,30.741511
嘉兴盐官镇,120.558247,30.451674
嘉兴新塍古镇,120.614669,30.794806
嘉兴濮院时尚古镇,120.632671,30.683528
嘉兴崇福镇,120.44058,30.535419
嘉兴西塘古镇,120.887593,30.939432
嘉兴桐乡乌镇,120.493792,30.741511
